High Entropy Alloy (HEA),Enthalpy (kJ/mol),Cluster
Ti1.1 Mn1 Cr1,-22.9,2
Ti0.99 Zr0.11 Mn1 Cr1,-25.5,2
Ti0.935 Zr0.165 Mn1 Cr1,-26.6,2
Ti0.88 Zr0.22 Mn1 Cr1,-28.3,2
Ti0.935 Zr0.165 Mn1 Cr0.95 Mo0.05,-26.2,2
Ti0.935 Zr0.165 Mn1 Cr0.9 Mo0.1,-23.7,2
Ti0.935 Zr0.165 Mn1 Cr0.85 Mo0.15,-21.7,1
Ti0.935 Zr0.165 Mn1 Cr0.98 W0.02,-26.3,2
Ti0.935 Zr0.165 Mn1 Cr0.95 W0.05,-24.3,2
Ti0.935 Zr0.165 Mn1 Cr0.9 W0.1,-22.6,1
Zr1 Fe1.9,-21.8,1
Zr1 Fe2,-21.2,1
Zr1 Fe2.5,-18.3,1
Ti1 Cr1.8,-21.3,1
Ti1 Cr1.9,-26.5,2
Ti1 Mn0.5 Cr1.5,-21.4,1
Ti1 Mn0.75 Cr1.25,-19.9,1
Ti1 Mn1 Cr1,-19.6,1
Ti1 Zr1 Mn1 V1 Fe1,-46.5,3
Ti1 Zr1 Mn1 Cr0.5 V1 Fe1,-39.72,4
Ti1 Zr1 Mn1 Cr0.75 V1 Fe1,-36.21,4
Ti1 Zr1 Mn1 Cr1 V1 Fe1,-31.83,0
Ti1 Zr1 Mn1 Cr1.25 V1 Fe1,-31.56,0
Ti1 Zr1 Mn1 Cr1.5 V1 Fe1,-30.78,0
Ti1 Zr1 Mn1 Cr2 V1 Fe1,-25.95,2
Ti1 Zr1 Mn1 Cr1 V1,-51.21,3
Ti1 Zr1 Mn1 Cr1 V1 Fe0.5,-54.28,3
Ti1 Zr1 Mn1 Cr1 V1 Fe1.5,-28.98,2
Ti1 Zr1 Mn1 Cr1 V1 Fe2,-21.88,1
Ti1 Zr1 Cr1 V1 Fe1,-42.44,4
Ti1 Zr1 Mn0.5 Cr1 V1 Fe1,-39.09,4
Ti1 Zr1 Mn0.75 Cr1 V1 Fe1,-36.12,4
Ti1 Zr1 Mn1.25 Cr1 V1 Fe1,-31.81,0
Ti1 Zr1 Mn1.5 Cr1 V1 Fe1,-27.01,2
Ti1 Zr1 Mn2 Cr1 V1 Fe1,-24.71,2
Zr1 Mn1 Cr1 V1 Fe1,-21.94,1
Ti0.5 Zr1 Mn1 Cr1 V1 Fe1,-25.63,2
Ti1.5 Zr1 Mn1 Cr1 V1 Fe1,-37.87,4
Ti2 Zr1 Mn1 Cr1 V1 Fe1,-44.03,4
Ti1 Zr1 Mn1 Cr1 Fe1,-42.46,4
Ti1 Zr1 Mn1 Cr1 V0.5 Fe1,-41.02,4
Ti1 Zr1 Mn1 Cr1 V1.5 Fe1,-35.08,0
Ti1 Zr1 Mn1 Cr1 V2 Fe1,-36.59,4
Ti1 Zr0.5 Mn1 Cr1 V1 Fe1,-14.81,1
Ti1 Zr1.5 Mn1 Cr1 V1 Fe1,-46.17,3
Ti1 Zr2 Mn1 Cr1 V1 Fe1,-52.48,3
Ti0.97 Zr0.019 Mn1.5 Cr0.045 V0.439 Al0.026 Fe0.097,-25.4,2
Ti0.98 Zr0.02 Mn1.5 Cr0.05 V0.43 Fe0.09,-27.4,2
Ti0.98 Zr0.02 Mn1.46 Cr0.05 V0.41 Fe0.08,-29.2,2
Ti0.95 Zr0.05 Mn1.48 V0.43 Al0.01 Fe0.08,-29.4,2
Ti0.955 Zr0.045 Mn1.52 V0.43 Al0.03 Fe0.12,-28.7,2
Ti12 Zr21.5 Mn8.1 Co8 Cr7.5 V10 Ni32.2 Sn0.3 Al0.4,-33.7,0
Ti12 Zr21.5 Mn8.1 Co7 Cr7.5 V10 Ni32.2 Sn0.3 Al0.4 Fe1,-39.2,4
Ti12 Zr21.5 Mn8.1 Co6 Cr7.5 V10 Ni32.2 Sn0.3 Al0.4 Fe2,-38.4,4
Ti12 Zr21.5 Mn8.1 Co5 Cr7.5 V10 Ni32.2 Sn0.3 Al0.4 Fe3,-37.4,4
Ti12 Zr21.5 Mn8.1 Co4 Cr7.5 V10 Ni32.2 Sn0.3 Al0.4 Fe4,-38.5,4
Ti12 Zr21.5 Mn8.1 Co3 Cr7.5 V10 Ni32.2 Sn0.3 Al0.4 Fe5,-39.3,4
Ti1 Mn0.85 Cr1 V0.05 Fe0.1,-21.1,1
Ti1 Mn0.7 Cr1 V0.1 Fe0.2,-20.6,1
Ti1 Mn0.55 Cr1 V0.15 Fe0.3,-20.9,1
Ti1 Mn0.4 Cr1 V0.2 Fe0.4,-22.0,1
Ti0.95 Zr0.05 Mn1 Cr1,-20.8,1
Ti0.95 Zr0.05 Mn0.8 Cr1.2,-21.9,1
Ti0.85 Zr0.15 Mn1 Cr1,-25.3,2
Ti0.85 Zr0.15 Mn0.8 Cr1.2,-26.2,2
Ti9 Zr28 Mn15 Co5 Cr8 Ni35,-35.5,0
Ti10 Zr27 Mn15 Co5 Cr8 Ni35,-31.5,0
Ti11 Zr26 Mn15 Co5 Cr8 Ni35,-32.1,0
Ti12 Zr25 Mn15 Co5 Cr8 Ni35,-33.9,0
Ti13 Zr24 Mn15 Co5 Cr8 Ni35,-32.7,0
Ti10 Zr28 Mn15 Co5 Cr8 Ni34,-36.7,4
Ti10 Zr26 Mn15 Co5 Cr8 Ni36,-30.8,0
Ti10 Zr25 Mn15 Co5 Cr8 Ni37,-27.3,2
Ti10 Zr24 Mn15 Co5 Cr8 Ni38,-24.8,2
Zr1.04 Al0.1 Fe1.9,-15.2,1
Zr1.04 Al0.15 Fe1.85,-15.9,1
Zr1.04 Al0.2 Fe1.8,-18.1,1
Zr1.04 Al0.25 Fe1.75,-19.3,1
Zr1.04 Al0.3 Fe1.7,-21.4,1
Zr1.04 V0.1 Fe1.9,-23.0,2
Zr1.04 V0.2 Fe1.8,-24.2,2
Zr1.04 V0.3 Fe1.7,-29.1,2
Zr1.04 V0.5 Fe1.5,-42.5,4
Ti0.104 Zr0.936 V0.3 Fe1.7,-28.5,2
Ti0.312 Zr0.728 V0.3 Fe1.7,-26.1,2
Ti0.52 Zr0.52 V0.3 Fe1.7,-21.9,1
